CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner
AchooCounty,69699,1922,48797,20902,1,0.58,0.02,0.41,0.16999999999999998,1,75820,5917,46834,28986,1,0.59,0.05,0.36,0.23,1,74493,20,40599,33894,1,0.65,0.0,0.35,0.30000000000000004,1,SOLID BLUE,0.07,0.13,0.06,North Central,12001,177947,50097,85143,42707,180934,50071,86664,44199,185167,49875,91193,44099,128571,115112,0.723,0.636,133876.0,75820,5917,46834,28986,1,0.5897,0.046,0.3643,0.2254,1,128571,0.694,5305.0,3128.3585,1932.6115,244.03,78948.3585,48766.6115,6161.03,30182.0,Biden
Baker,2311,82,8975,-6664,2,0.2,0.01,0.79,-0.5900000000000001,2,2112,228,10294,-8182,2,0.17,0.02,0.81,-0.64,2,1945,1,8579,-6634,2,0.18,0.0,0.82,-0.6399999999999999,2,SOLID RED,0.0,-0.05,-0.05,Jacksonville,12003,15147,7640,5922,1585,15108,8220,5224,1664,15872,9506,4471,1895,12634,10525,0.8340000000000001,0.6970000000000001,13237.0,2112,228,10294,-8182,2,0.1672,0.018,0.8148,-0.6476,2,12634,0.796,603.0,100.82159999999999,491.32439999999997,10.854,2212.8216,10785.3244,238.85399999999998,-8573.0,Trump
Bay,22051,934,56876,-34825,2,0.28,0.01,0.71,-0.43,2,21797,3462,62194,-40397,2,0.25,0.04,0.71,-0.46,2,16723,7,46681,-29958,2,0.26,0.0,0.74,-0.48,2,SOLID RED,-0.02,-0.05,-0.03,Panhandle,12005,118016,60998,31698,25320,120851,62884,30932,27035,117779,62747,28741,26291,87453,63411,0.741,0.525,87274.0,21797,3462,62194,-40397,2,0.2492,0.0396,0.7112,-0.4620000000000001,2,87453,0.743,-179.0,-44.6068,-127.30480000000001,-7.088400000000001,21752.3932,62066.6952,3454.9116,-40314.0,Trump
Bradford,3325,91,8219,-4894,2,0.29,0.01,0.71,-0.42,2,2924,261,8913,-5989,2,0.24,0.02,0.74,-0.5,2,2879,1,7576,-4697,2,0.28,0.0,0.72,-0.44,2,SOLID RED,0.06,-0.02,-0.08,Jacksonville,12007,16042,7259,6461,2322,16317,7828,5947,2542,17111,8818,5615,2678,12098,10456,0.754,0.6409999999999999,12902.0,2924,261,8913,-5989,2,0.2417,0.0216,0.7367,-0.495,2,12098,0.707,804.0,194.3268,592.3068000000001,17.366400000000002,3118.3268,9505.3068,278.3664,-6387.0,Trump
Brevard,122993,3266,159300,-36307,2,0.43,0.01,0.56,-0.13000000000000006,2,119679,13225,181848,-62169,2,0.38,0.04,0.58,-0.2,2,121112,56,160305,-39193,2,0.43,0.0,0.57,-0.13999999999999996,2,SOLID RED,0.06,-0.01,-0.07,Red South,12009,412032,173319,131225,107488,422606,177943,130958,113705,432521,183599,134430,114492,314752,281473,0.764,0.6659999999999999,330446.0,119679,13225,181848,-62169,2,0.3802,0.042,0.5778,-0.1976,2,314752,0.728,15694.0,5966.8588,9067.993199999999,659.148,125645.8588,190915.9932,13884.148,-65270.0,Trump
Broward,508312,4009,244101,264211,1,0.67,0.01,0.32,0.35000000000000003,1,553320,17680,260951,292369,1,0.67,0.02,0.31,0.36000000000000004,1,472239,0,211397,260842,1,0.69,0.0,0.31,0.38,1,SOLID BLUE,0.02,0.03,0.01,South,12011,1179255,256587,597474,325194,1175328,250869,590287,334172,1217630,256038,614105,347487,831951,683636,0.705,0.5820000000000001,858429.0,553320,17680,260951,292369,1,0.6651,0.0213,0.3137,0.35140000000000005,1,831951,0.683,26478.0,17610.5178,8306.148599999999,563.9814,570930.5178,269257.1486,18243.9814,301673.0,Biden
Calhoun,1664,122,4366,-2702,2,0.27,0.02,0.71,-0.44,2,1241,185,4655,-3414,2,0.2,0.03,0.77,-0.5700000000000001,2,1033,0,3586,-2553,2,0.22,0.0,0.78,-0.56,2,SOLID RED,0.01,-0.12,-0.13,Panhandle,12013,8596,2245,5433,918,8695,2661,5017,1017,8434,3212,4229,993,6081,4619,0.7070000000000001,0.531,5963.0,1241,185,4655,-3414,2,0.2041,0.0304,0.7655,-0.5613999999999999,2,6081,0.721,-118.0,-24.0838,-90.329,-3.5872,1216.9162,4564.671,181.4128,-3348.0,Trump
Charlotte,35906,780,47996,-12090,2,0.42,0.01,0.57,-0.14999999999999994,2,33445,2711,60218,-26773,2,0.35,0.03,0.62,-0.27,2,33525,16,52916,-19391,2,0.39,0.0,0.61,-0.22,2,SOLID RED,0.05,-0.07,-0.12,Red South,12015,128332,56469,36160,35703,134545,60836,36727,36982,146455,66827,39255,40373,96374,86457,0.7509999999999999,0.643,109988.0,33445,2711,60218,-26773,2,0.347,0.0281,0.6248,-0.27780000000000005,2,96374,0.658,13614.0,4724.058,8506.0272,382.5534,38169.058,68724.0272,3093.5534,-30555.0,Trump
Citrus,28460,813,44662,-16202,2,0.38,0.01,0.6,-0.22,2,22789,2455,54456,-31667,2,0.29,0.03,0.68,-0.3900000000000001,2,22660,15,48008,-25348,2,0.32,0.0,0.68,-0.36000000000000004,2,SOLID RED,0.03,-0.14,-0.17,North Central,12017,105696,48903,30425,26368,109388,52422,29608,27358,112420,56799,28417,27204,79700,70683,0.754,0.6459999999999999,84765.0,22789,2455,54456,-31667,2,0.2859,0.0308,0.6833,-0.39740000000000003,2,79700,0.709,5065.0,1448.0835,3460.9145000000003,156.002,24237.0835,57916.9145,2611.002,-33680.0,Trump
Clay,25759,808,70022,-44263,2,0.27,0.01,0.72,-0.45,2,27822,3698,74963,-47141,2,0.26,0.03,0.7,-0.44,2,27718,11,65639,-37921,2,0.3,0.0,0.7,-0.4,2,SOLID RED,0.04,0.05,0.01,Jacksonville,12019,146641,80033,32071,34537,153119,82227,34005,36887,157332,84920,35311,37101,106483,93368,0.726,0.61,114223.0,27822,3698,74963,-47141,2,0.2613,0.0347,0.704,-0.4427,2,106483,0.677,7740.0,2022.4619999999998,5448.96,268.57800000000003,29844.462,80411.96,3966.578,-50567.0,Trump
